2024-07-22 21:06:49 | CRITICAL | __main__   | This is a critical message : 
2024-07-22 21:07:58 | CRITICAL | __main__   | This is a critical message : 
2024-07-22 21:08:38 | CRITICAL | __main__   | This is a critical message : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00050349 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00061308 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00094861 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00122070 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00182520 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00183885 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00198913 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00235170 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00236340 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00250640 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00279552 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00305097 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00312429 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00317148 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00319748 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00324363 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00343668 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00344318 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00351611 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00356148 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00379366 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00391690 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00396734 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00397215 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00401245 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00404495 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00425789 : 
2024-07-22 21:08:42 | WARNING  | analyzer   | reading raw trial for NCT00426751 : 
